Source,Target,Weight
Achilles,Centaurs,1
Achilles,Horses,1
Achilles,Men,1
Achilles,Tents,1
Achilles,Trojan War,1
Adam,Angels,1
Adam,Christ,2
Adam,Crucifixion,2
Adam,Eve,6
Adam,Nativity,1
Adam,Virgin Mary,1
Adam,Working,1
Adoration of the Magi,Adoration of the Shepherds,2
Adoration of the Magi,Angels,4
Adoration of the Magi,Annunciation,5
Adoration of the Magi,Beds,1
Adoration of the Magi,Christ,8
Adoration of the Magi,Crucifixion,6
Adoration of the Magi,Dogs,1
Adoration of the Magi,Jesus,6
Adoration of the Magi,Nativity,3
Adoration of the Magi,Saints,3
Adoration of the Magi,Soldiers,1
Adoration of the Magi,Virgin Mary,9
Adoration of the Magi,Visitation,1
Adoration of the Magi,Women,1
Adoration of the Shepherds,Adoration of the Magi,1
Adoration of the Shepherds,Angels,2
Adoration of the Shepherds,Annunciation,2
Adoration of the Shepherds,Archangel Gabriel,1
Adoration of the Shepherds,Christ,3
Adoration of the Shepherds,Crucifixion,1
Adoration of the Shepherds,Nativity,1
Adoration of the Shepherds,Virgin Mary,3
Agony in the Garden,Animals,1
Agony in the Garden,Christ,1
Agony in the Garden,Crucifixion,1
Agony in the Garden,Last Supper,1
Agony in the Garden,Men,1
Agony in the Garden,Women,1
Agriculture,Eve,1
Ahasuerus,Dining,1
Ahasuerus,Men,1
Alexander The Great,Aristotle,1
Alexander The Great,Dogs,1
Alexander The Great,Horses,1
Alexander The Great,Knights,1
Alexander The Great,Lions,1
Alexander The Great,Profiles,1
Alexander The Great,Unicorns,1
Alexander The Great,Women,1
Allegory,Deer,1
Allegory,Dogs,1
Allegory,Horns,1
Allegory,Hunting,1
Allegory,Women,1
Altars,Bishops,1
Altars,Ceres,1
Altars,Jesus,1
Altars,Kings,1
Altars,Men,2
Altars,Women,1
Amulets,Medallions,1
Angels,Adoration of the Magi,2
Angels,Adoration of the Shepherds,1
Angels,Annunciation,4
Angels,Apostles,4
Angels,Archangel Gabriel,1
Angels,Assumption of the Virgin,1
Angels,Birds,2
Angels,Censers,1
Angels,Christ,52
Angels,Coat of Arms,2
Angels,Coronation of the Virgin,1
Angels,Cross,6
Angels,Crowns,1
Angels,Crucifixion,14
Angels,David,1
Angels,Descent from the Cross,1
Angels,Donkeys,3
Angels,Doors,1
Angels,Doves,1
Angels,Dragons,1
Angels,Eagles,1
Angels,Evangelists,2
Angels,Faces,1
Angels,Goats,1
Angels,God the Father,2
Angels,Jesus,7
Angels,Last Judgement,1
Angels,Lions,1
Angels,Madonna and Child,7
Angels,Men,11
Angels,Moses,1
Angels,Music,1
Angels,Mythical Creatures,1
Angels,Nativity,2
Angels,Noah,1
Angels,Reliquaries,1
Angels,Saint Francis,2
Angels,Saint John,2
Angels,Saint John the Baptist,1
Angels,Saint John the Evangelist,2
Angels,Saint Joseph,1
Angels,Saint Mark,2
Angels,Saint Matthew,2
Angels,Saint Paul,1
Angels,Saint Peter,1
Angels,Saints,8
Angels,Sheep,1
Angels,Shields,2
Angels,Soldiers,1
Angels,Swords,1
Angels,Unicorns,1
Angels,Virgin Mary,47
Angels,Visitation,2
Angels,Women,7
Animals,Angels,3
Animals,Annunciation,1
Animals,Apostles,1
Animals,Birds,7
Animals,Boats,1
Animals,Bow and Arrow,1
Animals,Children,2
Animals,Christ,2
Animals,Coat of Arms,1
Animals,Cross,2
Animals,Crucifixion,2
Animals,Dancers,1
Animals,Faces,1
Animals,Flowers,2
Animals,Herod,1
Animals,Horses,1
Animals,Human Figures,5
Animals,Hunting,3
Animals,Last Supper,1
Animals,Leaves,1
Animals,Male Nudes,1
Animals,Medallions,1
Animals,Men,16
Animals,Musicians,1
Animals,Rams,1
Animals,Saints,1
Animals,Tables,1
Animals,Vines,1
Animals,Virgin Mary,1
Animals,Weapons,1
Animals,Women,4
Annunciation,Adoration of the Magi,1
Annunciation,Angels,12
Annunciation,Baptism of Christ,1
Annunciation,Christ,7
Annunciation,Crucifixion,5
Annunciation,Demons,1
Annunciation,Doves,1
Annunciation,Evangelists,1
Annunciation,Jesus,1
Annunciation,Last Supper,1
Annunciation,Nativity,5
Annunciation,Resurrection,1
Annunciation,Saint John the Baptist,1
Annunciation,Saint John the Evangelist,1
Annunciation,Soldiers,1
Annunciation,Virgin Mary,15
Annunciation,Visitation,2
Apostles,Agony in the Garden,1
Apostles,Angels,1
Apostles,Crucifixion,2
Apostles,Death,1
Apostles,Jesus,1
Apostles,Madonna and Child,1
Apostles,Saint Peter,1
Apostles,Saints,3
Apostles,Virgin Mary,1
Apples,Madonna and Child,1
Apples,Roses,1
Archangel Gabriel,Angels,1
Archangel Gabriel,Annunciation,4
Archangel Gabriel,Doves,1
Archangel Gabriel,Virgin Mary,2
Aristotle,Dogs,1
Aristotle,Horses,1
Aristotle,Knights,1
Aristotle,Lions,1
Aristotle,Unicorns,1
Aristotle,Women,1
Armor,Cows,1
Armor,David,1
Armor,Diana,1
Armor,Hercules,1
Armor,Juno,1
Armor,Warriors,1
Bagpipes,Sheep,1
Baptism of Christ,Angels,1
Baptism of Christ,Christ,1
Baptism of Christ,Last Supper,1
Baptism of Christ,Saints,1
Baptism of Christ,Writing,1
Baptismal Fonts,Saints,1
Bats,Elephants,1
Bats,Men,1
Bats,Roosters,1
Bats,Trumpets,1
Bats,Women,1
Battles,Achilles,1
Battles,Centaurs,1
Battles,David,1
Battles,Dragons,1
Battles,Horses,2
Battles,Men,4
Battles,Soldiers,1
Battles,Swords,2
Battles,Tents,1
Battles,Trojan War,1
Battles,Weapons,1
Bearing the Cross,Annunciation,1
Bearing the Cross,Christ,4
Bearing the Cross,Crucifixion,4
Bearing the Cross,Descent from the Cross,1
Bearing the Cross,Entombment,2
Bearing the Cross,Men,2
Bearing the Cross,Pilate,1
Bearing the Cross,Saint John the Baptist,1
Bearing the Cross,Saint John the Evangelist,1
Bearing the Cross,Women,1
Bedrooms,Armor,1
Bedrooms,Cows,1
Bedrooms,Diana,1
Bedrooms,Hercules,1
Bedrooms,Juno,1
Beds,Birth,1
Beds,Infants,1
Beds,Saint Anne,1
Beds,Virgin Mary,1
Beds,Women,1
Birds,Amulets,1
Birds,Angels,2
Birds,Animals,2
Birds,Apostles,2
Birds,Boats,1
Birds,Bow and Arrow,2
Birds,Camels,1
Birds,Christ,1
Birds,Coat of Arms,1
Birds,Cross,1
Birds,Crucifixion,1
Birds,Cupid,1
Birds,Deer,5
Birds,Dogs,4
Birds,Dragons,1
Birds,Drinking,1
Birds,Elephants,1
Birds,Faces,2
Birds,Flowers,5
Birds,Hawks,2
Birds,Heads,1
Birds,Horses,2
Birds,Human Figures,1
Birds,Hunting,2
Birds,Lamentation,1
Birds,Leaves,3
Birds,Lions,1
Birds,Lotuses,2
Birds,Madonna and Child,1
Birds,Masks,3
Birds,Medallions,1
Birds,Men,7
Birds,Monkeys,1
Birds,Music,2
Birds,Owls,1
Birds,Pheasants,1
Birds,Pinecones,1
Birds,Putti,1
Birds,Queens,1
Birds,Rabbits,1
Birds,Rams,1
Birds,Sculpture,4
Birds,Sheep,1
Birds,Trees,1
Birds,Unicorns,1
Birds,Vines,2
Birds,Virgin Mary,2
Birds,Women,7
Birds,Wreaths,1
Bishops,Angels,1
Bishops,Baptism of Christ,1
Bishops,Ceres,1
Bishops,Chess,1
Bishops,Christ,1
Bishops,Games,1
Bishops,Men,3
Bishops,Queens,1
Bishops,Saint Christopher,1
Bishops,Saints,2
Bishops,Writing,1
Boars,Animals,1
Boars,Dogs,2
Boars,Eagles,1
Boats,Deer,1
Boats,Dogs,1
Boats,Games,1
Boats,Women,1
Books,Grapes,1
Books,Jesus,1
Books,Keys,1
Books,Madonna and Child,1
Books,Portraits,1
Books,Virgin Mary,1
Books,Wine,1
Bow and Arrow,Amazons,1
Bow and Arrow,Centaurs,1
Bow and Arrow,Hunting,1
Bow and Arrow,Men,4
Bow and Arrow,Rams,1
Bow and Arrow,Saints,1
Boys,Angels,1
Boys,Dogs,1
Boys,Flowers,1
Boys,Games,2
Boys,Horns,1
Boys,Playing,2
Boys,Saints,1
Boys,Women,1
Bulls,Putti,1
Camels,Dogs,1
Camels,Lamentation,1
Camels,Lions,1
Camels,Owls,1
Cameos,Men,1
Cameos,Mothers,1
Cameos,Saints,1
Cannons,Children,1
Cannons,Jesus,1
Cannons,Judas,1
Cannons,Men,1
Castles,Armor,1
Castles,Bedrooms,1
Castles,Boats,1
Castles,Cows,1
Castles,Deer,1
Castles,Diana,1
Castles,Dogs,1
Castles,Hercules,1
Castles,Juno,1
Castles,Landscapes,1
Castles,Maps,1
Castles,Ships,1
Castles,Tents,1
Castles,Women,1
Cats,Birds,1
Cats,Camels,1
Cats,Dogs,1
Cats,Elephants,1
Cats,Lamentation,1
Cats,Lions,1
Cats,Men,1
Cats,Monkeys,1
Cats,Owls,1
Cats,Roses,1
Cats,Women,1
Centaurs,Dragons,2
